CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
GH22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
GH23,650,800,577,142,168,267,148,147,26,48,34,59,29,29,30,247,207,242,188,273,380,318,675,17,99,183,146,84,736,226,224,90,314,161,123,429,154
GH24,7,5,4,0,0,2,0,2,0,0,0,1,1,0,0,1,1,0,1,5,1,1,31,0,0,0,0,0,2,4,10,2,7,8,1,8,1
GH25,6,8,4,1,3,4,0,0,0,1,0,0,1,1,0,10,4,16,6,45,15,9,11,1,2,1,1,0,8,1,7,1,6,7,2,8,2
GH26,7,7,3,0,1,0,1,3,0,0,3,1,1,1,1,36,22,31,9,23,17,11,25,0,6,2,2,5,38,6,35,9,45,19,1,41,7
GH27,0,1,1,0,1,1,0,2,0,1,0,0,0,0,0,16,7,0,2,5,16,10,14,0,0,0,1,2,9,1,10,3,24,4,0,13,4
GH28,7,4,1,0,0,0,0,19,1,7,2,1,1,1,3,42,17,11,6,7,22,9,38,0,5,0,11,28,57,6,78,18,100,47,0,98,30
GH29,106,56,36,3,20,19,2,56,5,33,13,5,6,4,6,358,166,207,54,49,117,60,174,0,15,2,40,76,331,26,371,41,373,179,3,520,151
GH3,129,124,78,18,38,56,13,19,2,18,5,8,6,7,7,178,109,148,44,122,155,113,276,1,30,14,15,29,202,46,120,32,154,74,16,193,52
GH30,1,0,3,0,0,0,1,5,0,1,1,0,0,0,0,10,2,5,1,1,6,3,1,0,0,0,0,1,7,0,15,1,17,5,0,9,0
GH30_1,22,13,4,2,2,6,0,0,0,1,1,0,0,0,0,34,16,27,12,4,1,1,5,0,1,0,0,0,18,4,3,0,1,2,0,1,1
GH30_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH30_3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,9,1,1,0,0,1,0,1,0,2,0,1,0,0,0,0,2,1
GH30_4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,1,4,3,10,0,1,0,0,2,5,0,7,0,2,3,0,13,4
