CAZyme,ART45,ART46,ART47,ART48,ART49,ART50,CIGOMA4,CIGOMD18,DELGOM54,DELGOM55,DELGOM56,DELGOM57,DELGOM58,DELGOM59,DELGOM60,DSANT06,DSANT08,DSANT09,DSANT11,DSANT95,GBGOC44,GBGOC45,GBGOC47,GYRPAC92,HRSPAC47,KJGOM4,KJGOM5,KJGOM6,KOR52,KOR58,LOKART30,LOKART60,LOKART62,LOKART95,MARPAC23,SMMPAC33,SMMPAC46
GT50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GT51,2374,2670,1972,856,922,1224,643,469,226,314,254,388,198,218,193,759,706,916,530,915,797,730,1452,307,265,667,586,401,1835,454,671,287,1124,642,284,1585,610
GT52,4,3,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
GT53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0
GT54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT55,0,0,0,0,0,0,0,11,0,12,13,2,16,11,13,0,1,0,0,1,40,33,15,0,16,0,12,8,8,3,6,34,37,12,0,8,9
GT56,7,3,0,2,2,3,0,0,0,1,0,0,0,0,0,6,3,5,0,14,6,4,26,2,3,0,3,1,2,0,15,2,13,7,0,9,1
GT59,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,4,0,2,0,1,5,0
GT6,27,10,11,3,3,6,0,0,0,0,2,1,0,0,0,2,0,1,1,10,2,1,7,0,2,0,1,0,1,5,66,11,79,76,2,27,1
GT60,48,86,61,13,27,42,4,0,0,1,0,1,0,0,0,5,7,11,1,4,1,1,12,1,0,13,2,0,16,6,10,0,15,16,1,127,25
GT62,3,1,2,0,0,2,1,1,0,0,0,0,0,0,0,0,3,4,2,0,0,1,0,1,1,1,1,1,4,1,1,1,2,2,0,3,1
